ID,Naziv,Ulica,Kraj,Postna_stevilka,Smer,Stopnja
0,Akademija za glasbo,Stari trg 34,Ljubljana,1000,Glasbena pedagogika,UNI
1,Akademija za glasbo,Stari trg 34,Ljubljana,1000,Glasbena umetnost,UNI
2,Akademija za glasbo,Stari trg 34,Ljubljana,1000,Glasbena pedagogika,MAG
3,Akademija za glasbo,Stari trg 34,Ljubljana,1000,Glasbena umetnost,MAG
4,Akademija za glasbo,Stari trg 34,Ljubljana,1000,Glasbeno-teoretska pedagogika,MAG
5,Akademija za glasbo,Stari trg 34,Ljubljana,1000,Instrumentalna in pevska pedagogika,MAG
6,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Dramaturgija in scenske umetnosti,UNI
7,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Dramska igra,UNI
8,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Film in televizija - Smer filmska in televizijska montaža,UNI
9,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Film in televizija - Smer filmska in televizijska režija,UNI
10,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Film in televizija - Smer filmsko in televizijsko snemanje,UNI
11,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Gledališka režija,UNI
12,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Dramaturgija in scenske umetnosti,MAG
13,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Dramska igra,MAG
14,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Filmski in televizijski študiji,MAG
15,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Filmsko in televizijsko ustvarjanje,MAG
16,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Gledališka in radijska režija,MAG
17,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Oblike govora,MAG
18,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Scensko oblikovanje,MAG
19,"Akademija za gledališèe, radio, film in televizijo",Nazorjeva ulica 3,Ljubljana,1000,Umetnost giba,MAG
20,Akademija za likovno umetnost in oblikovanje,Erjavèeva cesta 23,Ljubljana,1000,Industrijsko in unikatno oblikovanje - Smer industrijsko oblikovanje,UNI
21,Akademija za likovno umetnost in oblikovanje,Erjavèeva cesta 23,Ljubljana,1000,Industrijsko in unikatno oblikovanje - Smer unikatno oblikovanje,UNI
